timestamp,red,ir
5034366,83676,110736
5055366,83702,110836
5075366,83747,110935
5095366,83773,110879
5115366,83687,110456
5135366,83545,110008
5155366,83437,109782
5175366,83404,109747
5195366,83424,109844
5215366,83458,109991
5235366,83502,110158
5255366,83546,110293
5276366,83589,110429
5296366,83620,110591
5316366,83661,110749
5336366,83693,110879
5356366,83741,110958
5376366,83744,110977
5396366,83764,111020
5416366,83784,111078
5436366,83806,111150
5456366,83834,111245
5476366,83865,111384
5496366,83897,111494
5517366,83936,111588
5537366,83962,111690
5557366,83986,111798
5577366,84020,111888
5597366,84054,111989
5617366,84097,112069
5637366,84122,112163
5657366,84149,112238
5677366,84152,112094
5697366,84037,111568
5717366,83849,111016
5738366,83708,110670
5758366,83657,110615
5778366,83674,110699
5798366,83703,110804
5818366,83736,110968
5838366,83774,111071
5858366,83789,111123
5878366,83811,111229
5898366,83831,111377
5918366,83858,111454
5938366,83883,111434
5959366,83855,111364
5979366,83828,111294
5999366,83812,111287
6019366,83812,111329
6039366,83827,111396
6059366,83847,111462
6079366,83870,111543
6099366,83898,111602
6119366,83917,111684
6139366,83937,111754
6159366,83945,111791
6180366,83957,111818
6200366,83961,111907
6220366,83984,112006
6240366,84002,112040
6260366,83997,111788
6280366,83855,111199
6300366,83686,110669
6320366,83538,110369
6340366,83480,110265
6360366,83473,110287
6380366,83486,110356
6400366,83506,110472
6421366,83520,110570
6441366,83553,110676
6461366,83581,110809
6481366,83623,110929
6501366,83647,111029
6521366,83657,111031
6541366,83666,110998
6561366,83649,110982
6581366,83631,110969
6601366,83652,110983
6621366,83644,111042
6642366,83648,111090
6662366,83664,111163
6682366,83683,111236
6702366,83710,111286
6722366,83709,111312
6742366,83712,111328
6762366,83722,111355
6782366,83739,111416
6802366,83759,111515
6822366,83776,111574
6842366,83778,111427
6863366,83668,110906
6883366,83480,110345
6903366,83333,109950
6923366,83246,109816
6943366,83233,109826
6963366,83245,109899
6983366,83279,109974
7003366,83302,110023
7023366,83301,110053
7043366,83315,110092
7063366,83320,110153
7084366,83337,110206
7104366,83355,110199
7124366,83328,110148
7144366,83310,110073
7164366,83288,110023
7184366,83264,109982
7204366,83257,109972
7224366,83272,110002
7244366,83280,110080
7264366,83299,110122
7284366,83307,110175
7305366,83312,110251
7325366,83329,110290
7345366,83335,110368
7365366,83354,110427
7385366,83380,110510
7405366,83400,110596
7425366,83425,110633
7445366,83431,110594
7465366,83375,110190
7485366,83212,109649
7505366,83050,109249
7525366,82952,109048
7546366,82910,109008
7566366,82900,109061
7586366,82932,109158
7606366,82966,109238
7626366,82985,109303
7646366,83010,109374
7666366,83046,109464
7686366,83074,109533
7706366,83075,109547
7726366,83065,109522
7746366,83055,109494
7767366,83036,109452
7787366,83021,109445
7807366,83022,109474
7827366,83038,109537
7847366,83051,109620
7867366,83085,109697
7887366,83111,109779
7907366,83130,109838
7927366,83145,109889
7947366,83147,109959
7967366,83161,110009
7988366,83184,110052
8008366,83192,110114
8028366,83210,110173
8048366,83220,110187
8068366,83187,109898
8088366,83051,109388
8108366,82913,108949
8128366,82817,108730
8148366,82774,108702
8168366,82776,108756
8188366,82797,108850
8209366,82823,108974
8229366,82848,109056
8249366,82876,109174
8269366,82913,109297
8289366,82943,109393
8309366,82979,109441
8329366,82976,109424
8349366,82958,109355
8369366,82935,109312
8389366,82928,109279
8409366,82925,109319
8430366,82933,109363
8450366,82949,109431
8470366,82966,109511
8490366,82981,109584
8510366,83005,109670
8530366,83031,109748
8550366,83055,109817
8570366,83080,109901
8590366,83102,109965
8610366,83111,110026
8630366,83112,109878
8650366,83015,109402
8671366,82858,108921
8691366,82740,108622
8711366,82665,108523
8731366,82665,108565
8751366,82689,108692
8771366,82742,108823
8791366,82772,108927
8811366,82809,109060
8831366,82840,109189
8851366,82877,109312
8871366,82897,109376
8892366,82908,109377
8912366,82896,109339
8932366,82887,109315
8952366,82875,109310
8972366,82884,109341
8992366,82907,109419
9012366,82926,109501
9032366,82945,109587
9052366,82972,109675
9072366,83000,109747
9092366,83023,109818
9113366,83038,109904
9133366,83057,109969
9153366,83068,110046
9173366,83083,110041
9193366,83052,109695
9213366,82901,109143
9233366,82736,108645
9253366,82626,108384
9273366,82580,108321
9293366,82581,108366
9313366,82617,108473
9334366,82643,108567
9354366,82664,108680
9374366,82689,108784
9394366,82731,108918
9414366,82773,109048
9434366,82792,109110
9454366,82814,109097
9474366,82803,109064
9494366,82781,108999
9514366,82766,109002
9534366,82777,109054
9554366,82793,109110
9575366,82802,109183
9595366,82831,109248
9615366,82845,109337
9635366,82872,109411
9655366,82889,109493
9675366,82913,109558
9695366,82957,109633
9715366,82970,109721
9735366,82973,109566
9755366,82873,109080
9775366,82709,108522
9796366,82552,108119
9816366,82454,107959
9836366,82440,107950
9856366,82458,108035
9876366,82490,108145
9896366,82525,108242
9916366,82549,108313
9936366,82584,108433
9956366,82622,108559
9976366,82650,108693
9996366,82678,108781
10017366,82685,108800
10037366,82689,108796
10057366,82684,108796
10077366,82690,108810
10097366,82698,108879
10117366,82732,108960
10137366,82755,109035
10157366,82788,109117
10177366,82802,109205
10197366,82836,109277
10217366,82854,109377
10238366,82880,109472
10258366,82902,109547
10278366,82928,109598
10298366,82925,109439
10318366,82803,108917
10338366,82642,108333
10358366,82487,107899
10378366,82389,107711
10398366,82363,107701
10418366,82373,107756
10438366,82400,107829
10459366,82417,107936
10479366,82445,108036
10499366,82468,108161
10519366,82521,108310
10539366,82559,108437
10559366,82593,108515
10579366,82601,108520
10599366,82597,108483
10619366,82586,108456
10639366,82583,108456
10659366,82592,108501
10679366,82611,108585
10700366,82629,108665
10720366,82655,108756
10740366,82677,108864
10760366,82719,108955
10780366,82742,109058
10800366,82773,109136
10820366,82810,109211
10840366,82825,109314
10860366,82852,109378
10880366,82874,109425
10900366,82850,109145
10921366,82697,108558
10941366,82513,107972
10961366,82375,107618
10981366,82304,107523
11001366,82304,107566
11021366,82322,107659
11041366,82364,107760
11061366,82396,107867
11081366,82418,107970
11101366,82452,108088
11121366,82489,108210
11142366,82530,108313
11162366,82543,108340
11182366,82530,108343
11202366,82539,108314
11222366,82535,108300
11242366,82523,108340
11262366,82547,108400
11282366,82578,108457
11302366,82597,108552
11322366,82619,108642
11342366,82640,108722
11363366,82667,108808
11383366,82696,108899
11403366,82716,108975
11423366,82742,109053
11443366,82761,109122
11463366,82772,109198
11483366,82797,109288
11503366,82815,109354
11523366,82836,109411
11543366,82844,109298
11563366,82767,108799
11583366,82567,108188
11604366,82410,107741
11624366,82309,107545
11644366,82276,107531
11664366,82288,107613
11684366,82316,107770
11704366,82380,107937
11724366,82424,108085
11744366,82478,108265
11764366,82521,108420
11784366,82568,108511
11804366,82576,108516
11825366,82570,108463
11845366,82543,108411
11865366,82533,108386
11885366,82533,108385
11905366,82531,108430
11925366,82553,108529
11945366,82586,108627
11965366,82629,108748
11985366,82650,108848
12005366,82691,108952
12025366,82705,109019
12046366,82736,109090
12066366,82756,109158
12086366,82766,109229
12106366,82783,109300
12126366,82809,109348
12146366,82790,109118
12166366,82667,108574
12186366,82510,108040
12206366,82368,107707
12226366,82309,107610
12246366,82312,107666
12266366,82337,107806
12287366,82378,107982
12307366,82432,108160
12327366,82477,108324
12347366,82543,108499
12367366,82585,108602
12387366,82596,108608
12407366,82583,108529
12427366,82565,108440
12447366,82543,108396
12467366,82544,108400
12487366,82540,108453
12508366,82557,108546
12528366,82583,108657
12548366,82613,108765
12568366,82650,108878
12588366,82693,109010
12608366,82739,109098
12628366,82754,109177
12648366,82778,109247
12668366,82805,109320
12688366,82817,109389
12708366,82835,109390
12729366,82776,108991
12749366,82607,108348
12769366,82420,107798
12789366,82300,107502
12809366,82248,107456
12829366,82255,107523
12849366,82290,107650
12869366,82334,107783
12889366,82368,107913
12909366,82418,108057
12929366,82458,108210
12950366,82486,108339
12970366,82512,108391
12990366,82511,108369
13010366,82499,108303
13030366,82481,108254
13050366,82479,108242
13070366,82496,108288
